2019-01-13 20:14:21,342 Process-3  d.e.f ERROR    ('Worker PID : ', 23696)
2019-01-13 20:14:21,606 Process-3  d.e.f CRITICAL ('Worker PID : ', 23696)
2019-01-13 20:14:22,200 Process-2  a.b.c WARNING  ('Worker PID : ', 23695)
2019-01-13 20:14:22,832 Process-2  a.b.c INFO     ('Worker PID : ', 23695)
2019-01-13 20:14:22,836 Process-4  Logger.MultiProcessLogger.M2 DEBUG    ('Cube value', 0, 'Cube PID', 23703)
2019-01-13 20:14:22,836 Process-4  Logger.MultiProcessLogger.M2 DEBUG    ('Cube value', 1, 'Cube PID', 23703)
2019-01-13 20:14:22,836 Process-5  Logger.MultiProcessLogger.M1 DEBUG    ('Square value', 0, 'Square PID', 23704)
2019-01-13 20:14:22,837 Process-4  Logger.MultiProcessLogger.M2 DEBUG    ('Cube value', 8, 'Cube PID', 23703)
2019-01-13 20:14:22,837 Process-5  Logger.MultiProcessLogger.M1 DEBUG    ('Square value', 1, 'Square PID', 23704)
2019-01-13 20:14:22,837 Process-4  Logger.MultiProcessLogger.M2 DEBUG    ('Cube value', 27, 'Cube PID', 23703)
2019-01-13 20:14:22,837 Process-4  Logger.MultiProcessLogger.M2 DEBUG    ('Cube value', 64, 'Cube PID', 23703)
2019-01-13 20:14:22,837 Process-4  Logger.MultiProcessLogger.M2 DEBUG    ('Cube value', 125, 'Cube PID', 23703)
2019-01-13 20:14:22,837 Process-5  Logger.MultiProcessLogger.M1 DEBUG    ('Square value', 4, 'Square PID', 23704)
2019-01-13 20:14:22,837 Process-4  Logger.MultiProcessLogger.M2 DEBUG    ('Cube value', 216, 'Cube PID', 23703)
2019-01-13 20:14:22,837 Process-4  Logger.MultiProcessLogger.M2 DEBUG    ('Cube value', 343, 'Cube PID', 23703)
2019-01-13 20:14:22,837 Process-5  Logger.MultiProcessLogger.M1 DEBUG    ('Square value', 9, 'Square PID', 23704)
2019-01-13 20:14:22,837 Process-4  Logger.MultiProcessLogger.M2 DEBUG    ('Cube value', 512, 'Cube PID', 23703)
2019-01-13 20:14:22,837 Process-4  Logger.MultiProcessLogger.M2 DEBUG    ('Cube value', 729, 'Cube PID', 23703)
2019-01-13 20:14:22,837 Process-5  Logger.MultiProcessLogger.M1 DEBUG    ('Square value', 16, 'Square PID', 23704)
2019-01-13 20:14:22,837 Process-5  Logger.MultiProcessLogger.M1 DEBUG    ('Square value', 25, 'Square PID', 23704)
2019-01-13 20:14:22,838 Process-5  Logger.MultiProcessLogger.M1 DEBUG    ('Square value', 36, 'Square PID', 23704)
2019-01-13 20:14:22,838 Process-5  Logger.MultiProcessLogger.M1 DEBUG    ('Square value', 49, 'Square PID', 23704)
2019-01-13 20:14:22,838 Process-5  Logger.MultiProcessLogger.M1 DEBUG    ('Square value', 64, 'Square PID', 23704)
2019-01-13 20:14:22,838 Process-5  Logger.MultiProcessLogger.M1 DEBUG    ('Square value', 81, 'Square PID', 23704)
2019-01-13 20:17:09,839 Process-2  a.b.c ERROR    ('Worker PID : ', 24072)
2019-01-13 20:17:09,959 Process-2  a.b.c DEBUG    ('Worker PID : ', 24072)
2019-01-13 20:17:10,031 Process-3  a.b.c INFO     ('Worker PID : ', 24073)
2019-01-13 20:17:10,211 Process-3  a.b.c INFO     ('Worker PID : ', 24073)
2019-01-13 20:17:10,218 Process-4  __main__ DEBUG    ('Cube value', 0, 'Cube PID', 24080)
2019-01-13 20:17:10,219 Process-4  __main__ DEBUG    ('Cube value', 1, 'Cube PID', 24080)
2019-01-13 20:17:10,221 Process-4  __main__ DEBUG    ('Cube value', 8, 'Cube PID', 24080)
2019-01-13 20:17:10,222 Process-4  __main__ DEBUG    ('Cube value', 27, 'Cube PID', 24080)
2019-01-13 20:17:10,222 Process-4  __main__ DEBUG    ('Cube value', 64, 'Cube PID', 24080)
2019-01-13 20:17:10,222 Process-4  __main__ DEBUG    ('Cube value', 125, 'Cube PID', 24080)
2019-01-13 20:17:10,222 Process-4  __main__ DEBUG    ('Cube value', 216, 'Cube PID', 24080)
2019-01-13 20:17:10,222 Process-4  __main__ DEBUG    ('Cube value', 343, 'Cube PID', 24080)
2019-01-13 20:17:10,222 Process-4  __main__ DEBUG    ('Cube value', 512, 'Cube PID', 24080)
2019-01-13 20:17:10,222 Process-4  __main__ DEBUG    ('Cube value', 729, 'Cube PID', 24080)
